nivel,codigo_ibge,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MU,4100103,  Abatiá,2600.0,1750.0,2100.0,2600.0,2600.0,2080.0,2590.0,3350.0,2320.0,3100.0,1460.0,2640.0,2760.0,3480.0
MU,4100459,  Altamira do Paraná,3100.0,2460.0,2950.0,2950.0,2749.0,2749.0,3250.0,3200.0,2197.0,3223.0,3471.0,3099.0,2871.0,3818.0
MU,4100608,  Alto Paraná,1487.0,1365.0,1734.0,2727.0,2400.0,1620.0,2899.0,2899.0,1737.0,2880.0,2000.0,1800.0,2221.0,2980.0
MU,4100707,  Alto Piquiri,2300.0,2300.0,2700.0,3193.0,2701.0,2097.0,3130.0,3310.0,2000.0,3000.0,3192.0,3488.0,2589.0,3700.0
MU,4100509,  Altônia,1050.0,1800.0,1255.0,2355.0,2600.0,1300.0,3000.0,2773.0,815.0,2137.0,1800.0,2455.0,2780.0,2900.0
MU,4100806,  Alvorada do Sul,1920.0,1860.0,2580.0,2880.0,2880.0,2279.0,3120.0,3415.0,2724.0,3260.0,1500.0,3103.0,2450.0,3423.0
MU,4101002,  Ampére,2211.0,900.0,1523.0,2402.0,2783.0,2306.0,3349.0,3475.0,1995.0,3008.0,2907.0,3447.0,3480.0,3800.0
MU,4101051,  Anahy,3190.0,2851.0,2600.0,3360.0,3150.0,3098.0,3203.0,3719.0,2705.0,3400.0,3698.0,3709.0,4091.0,3644.0
MU,4101101,  Andirá,2700.0,2000.0,2800.0,2750.0,2900.0,271.0,2812.0,3461.0,2185.0,3396.0,1440.0,2667.0,3077.0,3462.0
MU,4101150,  Ângulo,1815.0,2000.0,1500.0,3050.0,3000.0,1750.0,3000.0,3223.0,1994.0,3471.0,2730.0,3600.0,3050.0,3470.0
MU,4101309,  Antônio Olinto,2488.0,2000.0,2800.0,2717.0,2918.0,2413.0,1934.0,3550.0,2800.0,3193.0,3440.0,3455.0,3264.0,3500.0
MU,4101408,  Apucarana,3300.0,2660.0,2700.0,3012.0,3100.0,2700.0,2900.0,3450.0,2400.0,3350.0,2700.0,3000.0,2650.0,3600.0
MU,4101606,  Arapoti,3192.0,2000.0,2780.0,3260.0,3400.0,3300.0,3200.0,3400.0,3564.0,3800.0,3149.0,3797.0,3371.0,4000.0
MU,4101655,  Arapuã,3000.0,2780.0,2850.0,3100.0,3100.0,3000.0,3200.0,3365.0,2843.0,3800.0,3100.0,3100.0,2350.0,3500.0
MU,4101705,  Araruna,2472.0,2230.0,1734.0,2850.0,2832.0,2176.0,2828.0,3000.0,2515.0,3304.0,2835.0,3207.0,2834.0,3600.0
MU,4101804,  Araucária,2603.0,2650.0,3050.0,3450.0,3222.0,3225.0,3198.0,3198.0,3200.0,3420.0,2975.0,3471.0,3595.0,3700.0
MU,4101853,  Ariranha do Ivaí,2900.0,1780.0,2450.0,2800.0,2900.0,3000.0,3112.0,3700.0,2900.0,3600.0,3150.0,3100.0,2230.0,3500.0
MU,4101903,  Assaí,2700.0,1900.0,2230.0,2750.0,2900.0,1983.0,3000.0,3480.0,2479.0,3347.0,1860.0,3100.0,2580.0,3263.0
MU,4102000,  Assis Chateaubriand,2199.0,2600.0,2064.0,2968.0,3100.0,997.0,3671.0,3291.0,1401.0,3493.0,3203.0,3295.0,3420.0,3967.0
MU,4102109,  Astorga,2199.0,1550.0,1860.0,2700.0,2800.0,2350.0,3000.0,3480.0,2750.0,3471.0,2600.0,3470.0,2350.0,3720.0
MU,4102208,  Atalaia,1500.0,2100.0,1149.0,3000.0,2850.0,1750.0,3150.0,3350.0,2900.0,3470.0,2100.0,3520.0,2850.0,3650.0
MU,4102307,  Balsa Nova,2650.0,2680.0,3100.0,3500.0,3272.0,3290.0,2979.0,3350.0,3350.0,3545.0,3084.0,3595.0,3600.0,3600.0
MU,4102406,  Bandeirantes,2600.0,1900.0,1980.0,2750.0,2850.0,146.0,3000.0,3480.0,2220.0,3358.0,1460.0,2629.0,3200.0,3200.0
MU,4102505,  Barbosa Ferraz,3100.0,2230.0,2597.0,3096.0,2800.0,2027.0,3240.0,3644.0,2269.0,3372.0,3074.0,3277.0,2680.0,3552.0
MU,4102703,  Barra do Jacaré,2600.0,1700.0,2350.0,2230.0,2727.0,2727.0,2851.0,3471.0,2353.0,3471.0,1983.0,2800.0,3400.0,3469.0
MU,4102604,  Barracão,1600.0,1200.0,2000.0,3000.0,2800.0,2000.0,2750.0,3300.0,2000.0,3000.0,3000.0,3500.0,3450.0,3600.0
MU,4102752,  Bela Vista da Caroba,2178.0,1100.0,2000.0,2880.0,2820.0,1800.0,3000.0,3495.0,1860.0,3168.0,2465.0,2936.0,3487.0,3500.0
MU,4102802,  Bela Vista do Paraíso,1980.0,2160.0,2039.0,2580.0,2940.0,2280.0,3033.0,3443.0,2479.0,3201.0,1740.0,3370.0,2600.0,3650.0
MU,4102901,  Bituruna,2600.0,1300.0,2500.0,2500.0,2000.0,2200.0,2400.0,3300.0,2600.0,2600.0,2600.0,2500.0,2600.0,2950.0
MU,4103008,  Boa Esperança,2692.0,2355.0,2098.0,2088.0,3147.0,2189.0,3209.0,3351.0,2390.0,3362.0,3561.0,3275.0,3466.0,3917.0
MU,4103024,  Boa Esperança do Iguaçu,2440.0,1650.0,2250.0,2313.0,2696.0,1955.0,2888.0,3629.0,2035.0,2551.0,1919.0,3323.0,3023.0,3720.0
MU,4103040,  Boa Ventura de São Roque,2700.0,1700.0,2600.0,2900.0,3000.0,2800.0,3000.0,3382.0,2784.0,3000.0,3000.0,1832.0,3200.0,3596.0
MU,4103057,  Boa Vista da Aparecida,2750.0,2700.0,2231.0,3259.0,3300.0,3471.0,3456.0,3717.0,2500.0,3932.0,3449.0,3577.0,3687.0,3700.0
MU,4103156,  Bom Jesus do Sul,1700.0,1500.0,1800.0,3000.0,2800.0,2200.0,3000.0,3300.0,2117.0,3000.0,2968.0,3300.0,3400.0,3600.0
MU,4103206,  Bom Sucesso,3000.0,2200.0,2500.0,2117.0,3000.0,2000.0,2800.0,3470.0,2300.0,3200.0,2900.0,3150.0,2700.0,3645.0
MU,4103222,  Bom Sucesso do Sul,2502.0,1533.0,2490.0,2708.0,2906.0,2491.0,3283.0,3797.0,2401.0,3308.0,3159.0,3169.0,3272.0,3993.0
MU,4103305,  Borrazópolis,3000.0,2200.0,2600.0,2900.0,3000.0,2380.0,3000.0,3400.0,2809.0,3500.0,3000.0,3475.0,2480.0,2480.0
MU,4103354,  Braganey,2700.0,2644.0,2234.0,3189.0,3214.0,2708.0,3179.0,3627.0,2907.0,3383.0,3704.0,3705.0,3826.0,3850.0
MU,4103370,  Brasilândia do Sul,2500.0,2700.0,2699.0,3197.0,2550.0,2029.0,3081.0,2996.0,2000.0,2998.0,3183.0,3342.0,3487.0,3300.0
MU,4103404,  Cafeara,1680.0,2230.0,1710.0,3003.0,2389.0,2036.0,2700.0,3051.0,2000.0,2724.0,1547.0,3185.0,2080.0,3000.0
